Noise Type,Test Type,Test Lag,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
Static noise,Imperfect Test (85%),0,2.73,3.52,5.86,6.64,8.98,10.55,11.33,13.67,15.23,16.8
Static noise,Imperfect Test (90%),0,1.17,3.52,4.3,6.64,7.42,8.98,10.55,12.11,13.67,15.23
Dynamical noise,Imperfect Test (85%),0,1.17,2.73,3.52,5.86,6.64,0.39,0.39,0.39,11.33,12.11
Dynamical noise,Imperfect Test (90%),0,1.17,2.73,3.52,4.3,6.64,7.42,8.98,10.55,11.33,0.39
All noise structures,Perfect Test,14,1.17,2.73,3.52,5.86,6.64,7.42,8.98,10.55,11.33,12.11
All noise structures,Perfect Test,0,1.17,2.73,3.52,5.86,6.64,7.42,8.98,10.55,11.33,12.11
